Date,Period,Model,Scenario,AGRO_ZONE,Tmean,Tmin,Tmax
1988-06,HISTORICAL,NESM3,HISTORICAL,ArL,29.8433037511187,22.43323562734844,37.25337418669529
1988-06,HISTORICAL,NESM3,HISTORICAL,MH,23.039098001592272,15.887008967124448,30.191184415070577
1988-06,HISTORICAL,NESM3,HISTORICAL,ML,29.724794451070608,22.61022270208212,36.83936614210022
1988-06,HISTORICAL,NESM3,HISTORICAL,OVERALL,28.925192370403373,21.63153304168091,36.218852579540766
1988-07,HISTORICAL,NESM3,HISTORICAL,ArL,28.22209310959931,22.15678926590428,34.28739795522165
1988-07,HISTORICAL,NESM3,HISTORICAL,MH,21.74755690540284,16.39413162599379,27.10099251994402
1988-07,HISTORICAL,NESM3,HISTORICAL,ML,25.724008354816778,20.093781538546068,31.35423394057595
1988-07,HISTORICAL,NESM3,HISTORICAL,OVERALL,26.68232302810604,20.83061470873084,32.53403285955484
1988-08,HISTORICAL,NESM3,HISTORICAL,ArL,28.66649295574838,22.376599606442976,34.95638866240225
1988-08,HISTORICAL,NESM3,HISTORICAL,MH,22.05570698885118,16.16255415609233,27.948860449986057
1988-08,HISTORICAL,NESM3,HISTORICAL,ML,26.223950427148043,20.228686741897917,32.21922183430399
1988-08,HISTORICAL,NESM3,HISTORICAL,OVERALL,27.124111688157445,20.967588338855222,33.280638525257274
1988-09,HISTORICAL,NESM3,HISTORICAL,ArL,29.193727330852482,22.384477095091626,36.0029748102289
1988-09,HISTORICAL,NESM3,HISTORICAL,MH,22.387877564700272,15.612718835260734,29.16303902261469
1988-09,HISTORICAL,NESM3,HISTORICAL,ML,27.818862012218112,20.980365966618567,34.65735614517471
1988-09,HISTORICAL,NESM3,HISTORICAL,OVERALL,27.923116223044545,21.11009053457881,34.73614030957183
1988-10,HISTORICAL,NESM3,HISTORICAL,ArL,28.091581605062228,21.70002267001503,34.48314144444645
1988-10,HISTORICAL,NESM3,HISTORICAL,MH,20.989744868416775,14.307697444348396,27.671789225017914
1988-10,HISTORICAL,NESM3,HISTORICAL,ML,28.371835935716682,21.50233860057668,35.24133771139835
1988-10,HISTORICAL,NESM3,HISTORICAL,OVERALL,27.245029990735784,20.683175077011853,33.80688605316676
1988-11,HISTORICAL,NESM3,HISTORICAL,ArL,27.165246150465176,21.292823725576245,33.03766760812558
1988-11,HISTORICAL,NESM3,HISTORICAL,MH,20.231645762800902,13.932269247422493,26.53102159192655
1988-11,HISTORICAL,NESM3,HISTORICAL,ML,28.295907581627525,21.600630186873722,34.991182131937975
1988-11,HISTORICAL,NESM3,HISTORICAL,OVERALL,26.578005373750667,20.421511502720172,32.7344976688905
1988-12,HISTORICAL,NESM3,HISTORICAL,ArL,23.93925622589824,18.05638959796814,29.822125978887343
1988-12,HISTORICAL,NESM3,HISTORICAL,MH,18.826230262708833,12.440555088205505,25.211910224445365
1988-12,HISTORICAL,NESM3,HISTORICAL,ML,25.582260865238677,18.710500530190004,32.45401979144079
1988-12,HISTORICAL,NESM3,HISTORICAL,OVERALL,23.729202292127496,17.50567264185707,29.9527337852783
1989-01,HISTORICAL,NESM3,HISTORICAL,ArL,23.434694260016588,16.760120445195096,30.10927016760832
1989-01,HISTORICAL,NESM3,HISTORICAL,MH,18.790654588243076,11.644120191203607,25.93718813366765
1989-01,HISTORICAL,NESM3,HISTORICAL,ML,24.624658434960534,16.683306755472774,32.5660152148295
1989-01,HISTORICAL,NESM3,HISTORICAL,OVERALL,23.157709522970162,16.068826861786935,30.246594558408486
1989-02,HISTORICAL,NESM3,HISTORICAL,ArL,25.65600789055492,18.12553106397985,33.186486525803964
1989-02,HISTORICAL,NESM3,HISTORICAL,MH,20.701538588638353,12.988477913508497,28.414597047915894
1989-02,HISTORICAL,NESM3,HISTORICAL,ML,27.871766483148082,19.29174418592212,36.45178641743519
1989-02,HISTORICAL,NESM3,HISTORICAL,OVERALL,25.627215367008244,17.78109097648459,33.47333997763563
1989-03,HISTORICAL,NESM3,HISTORICAL,ArL,25.495312404144624,18.315769762881732,32.674851031192276
1989-03,HISTORICAL,NESM3,HISTORICAL,MH,20.599299071339622,13.526245140338219,27.672349298229676
1989-03,HISTORICAL,NESM3,HISTORICAL,ML,27.75577187492868,19.71104620410373,35.800496997373514
1989-03,HISTORICAL,NESM3,HISTORICAL,OVERALL,25.487498004479665,18.080810214244888,32.894182847408224
1989-04,HISTORICAL,NESM3,HISTORICAL,ArL,26.299661632232066,19.352063857485746,33.24725780215978
1989-04,HISTORICAL,NESM3,HISTORICAL,MH,21.010840518427447,14.361660517731613,27.660022867265315
1989-04,HISTORICAL,NESM3,HISTORICAL,ML,28.0921411016895,20.388380520181844,35.79590157619615
1989-04,HISTORICAL,NESM3,HISTORICAL,OVERALL,26.1104073042266,18.990813240788448,33.23000078549687
1989-05,HISTORICAL,NESM3,HISTORICAL,ArL,28.028465578080333,20.50820523295098,35.548722505379715
1989-05,HISTORICAL,NESM3,HISTORICAL,MH,21.38088034126245,13.917552746876401,28.844215368675528
1989-05,HISTORICAL,NESM3,HISTORICAL,ML,28.79680308194995,20.799206645511404,36.79440330354904
1989-05,HISTORICAL,NESM3,HISTORICAL,OVERALL,27.377751017447125,19.73248292396161,35.02301935968893
1989-06,HISTORICAL,NESM3,HISTORICAL,ArL,30.81734838827285,23.990721132973515,37.6439747565846
1989-06,HISTORICAL,NESM3,HISTORICAL,MH,23.69646131029237,17.041610389529666,30.351312677532793
1989-06,HISTORICAL,NESM3,HISTORICAL,ML,29.721415426227832,23.235711830423398,36.20711750172631
1989-06,HISTORICAL,NESM3,HISTORICAL,OVERALL,29.582291173755866,22.873000454731738,36.29158114520878
1989-07,HISTORICAL,NESM3,HISTORICAL,ArL,30.260910727287868,23.77426857181137,36.74755383481216
1989-07,HISTORICAL,NESM3,HISTORICAL,MH,23.3229208128461,17.048773586921232,29.597071627128837
1989-07,HISTORICAL,NESM3,HISTORICAL,ML,27.780221649013903,21.372167959833277,34.18827997936311
1989-07,HISTORICAL,NESM3,HISTORICAL,OVERALL,28.66544134518362,22.228347249029476,35.102537674934844
1989-08,HISTORICAL,NESM3,HISTORICAL,ArL,27.803830090078755,21.94008288098848,33.66757417411004
1989-08,HISTORICAL,NESM3,HISTORICAL,MH,20.94027646131165,15.379530936804182,26.501022862238298
1989-08,HISTORICAL,NESM3,HISTORICAL,ML,25.611239608419147,20.08168316681602,31.140796384400428
1989-08,HISTORICAL,NESM3,HISTORICAL,OVERALL,26.300382709340422,20.56898928792376,32.03177438555585
1989-09,HISTORICAL,NESM3,HISTORICAL,ArL,27.97518917558681,21.09653089825848,34.853845243036524
1989-09,HISTORICAL,NESM3,HISTORICAL,MH,21.397759083737814,14.668504629080898,28.127013786437907
1989-09,HISTORICAL,NESM3,HISTORICAL,ML,27.468594474040152,20.857723880876517,34.07945892802117
1989-09,HISTORICAL,NESM3,HISTORICAL,OVERALL,26.97860871403243,20.194569603792054,33.76264504497476
1989-10,HISTORICAL,NESM3,HISTORICAL,ArL,27.669604989681297,20.867642608347666,34.47156717583429
1989-10,HISTORICAL,NESM3,HISTORICAL,MH,20.79791478705067,13.91693999756325,27.67888935329923
1989-10,HISTORICAL,NESM3,HISTORICAL,ML,27.67446407655282,20.44594118440128,34.90298785592103
1989-10,HISTORICAL,NESM3,HISTORICAL,OVERALL,26.77615499786245,19.845552117688648,33.70675796008675
1989-11,HISTORICAL,NESM3,HISTORICAL,ArL,26.53084062291114,20.123193777929067,32.93848635319489
1989-11,HISTORICAL,NESM3,HISTORICAL,MH,19.359590721492122,12.624784920112925,26.09439203328993
1989-11,HISTORICAL,NESM3,HISTORICAL,ML,27.247091485323768,19.84425457215295,34.64992360128289
1989-11,HISTORICAL,NESM3,HISTORICAL,OVERALL,25.797220998642292,19.069851507184968,32.52458786448348
1989-12,HISTORICAL,NESM3,HISTORICAL,ArL,24.964342789815344,18.689807990737258,31.238878818531514
1989-12,HISTORICAL,NESM3,HISTORICAL,MH,19.19571072338916,12.560629182338616,25.830788237872238
1989-12,HISTORICAL,NESM3,HISTORICAL,ML,26.54858830008221,19.16809032543288,33.92907965850276
1989-12,HISTORICAL,NESM3,HISTORICAL,OVERALL,24.654079708934223,18.024747714494957,31.28340986440029
1990-01,HISTORICAL,NESM3,HISTORICAL,ArL,24.336188865778755,17.593921114003702,31.078458584540947
1990-01,HISTORICAL,NESM3,HISTORICAL,MH,19.00489560987403,11.803723842359396,26.20607314025832
